Release Date,Time,Actual,Forecast,Previous
16-Dec-15,3:05,2.300M,-2.500M,-1.900M
9-Dec-15,3:05,-1.900M,-1.200M,1.600M
2-Dec-15,3:05,1.600M,-1.200M,2.600M
25-Nov-15,3:05,2.600M,-0.200M,-0.482M
18-Nov-15,3:05,-0.482M,1.800M,6.300M
11-Nov-15,3:05,6.300M,0.500M,2.800M
4-Nov-15,3:05,2.800M,-,4.100M
28-Oct-15,2:05,4.100M,3.000M,7.100M
21-Oct-15,2:05,7.100M,3.500M,9.300M
15-Oct-15,2:05,9.300M,1.800M,-1.200M
7-Oct-15,2:05,-1.200M,1.700M,4.600M
30-Sep-15,2:00,4.600M,0.000M,-3.700M
23-Sep-15,2:00,-3.700M,-0.700M,-3.100M
16-Sep-15,2:00,-3.100M,-0.200M,2.100M
10-Sep-15,2:00,2.100M,0.300M,7.600M
2-Sep-15,2:05,7.600M,-0.800M,-7.300M
26-Aug-15,2:05,-7.300M,1.900M,-2.300M
19-Aug-15,2:00,-2.300M,-2.000M,-0.847M
12-Aug-15,2:00,-0.847M,-1.800M,-2.400M
5-Aug-15,2:05,-2.400M,-1.600M,-1.900M
29-Jul-15,2:00,-1.900M,-0.700M,2.300M
22-Jul-15,2:05,2.300M,-1.900M,-7.300M
15-Jul-15,2:00,-7.300M,-1.800M,-0.958M
8-Jul-15,2:00,-0.958M,-1.100M,1.875M
1-Jul-15,2:00,1.875M,-1.300M,-3.200M
24-Jun-15,2:00,-3.200M,-2.300M,-2.900M
17-Jun-15,2:00,-2.900M,-2.400M,-6.700M
10-Jun-15,2:00,-6.700M,-1.600M,1.800M
3-Jun-15,2:00,1.800M,-2.400M,1.268M
28-May-15,2:00,1.268M,-2.000M,-5.200M
20-May-15,2:00,-5.200M,-,-2.000M
13-May-15,2:00,-2.000M,-0.250M,-1.500M
6-May-15,2:00,-1.500M,1.000M,4.200M
29-Apr-15,2:00,4.200M,1.400M,5.500M
22-Apr-15,2:00,5.500M,2.600M,2.600M
15-Apr-15,2:00,2.600M,-,12.200M
8-Apr-15,2:00,12.200M,3.000M,5.200M
1-Apr-15,2:00,5.200M,3.500M,4.800M
25-Mar-15,2:00,4.800M,-,10.500M
18-Mar-15,2:00,10.500M,3.800M,-0.404M
11-Mar-15,2:00,-0.404M,-,2.900M
4-Mar-15,3:00,2.900M,4.000M,8.900M
25-Feb-15,3:00,8.900M,-,14.300M
19-Feb-15,3:00,14.300M,3.100M,1.600M
11-Feb-15,3:00,1.600M,-,6.100M
4-Feb-15,3:00,6.100M,-,12.700M
28-Jan-15,3:00,12.700M,-,5.700M
22-Jan-15,3:00,5.700M,-,3.900M
14-Jan-15,3:00,3.900M,-,-4.000M
7-Jan-15,3:00,-4.000M,-,0.760M
31-Dec-14,3:00,0.760M,-0.100M,5.400M
24-Dec-14,3:00,5.400M,-,1.900M
17-Dec-14,3:00,1.900M,-,4.400M
10-Dec-14,3:00,4.400M,-,-6.500M
3-Dec-14,3:00,-6.500M,-,2.800M
26-Nov-14,3:00,2.800M,-,3.700M
19-Nov-14,3:00,3.700M,-,-1.500M
13-Nov-14,3:00,-1.500M,-,-0.639M
5-Nov-14,3:00,-0.639M,-,3.200M
29-Oct-14,2:00,3.200M,-,1.200M
22-Oct-14,2:00,1.200M,-,10.200M
16-Oct-14,2:00,10.200M,-,5.100M
8-Oct-14,2:00,5.100M,1.400M,-0.463M
1-Oct-14,2:00,-0.463M,0.900M,-6.500M
24-Sep-14,2:00,-6.500M,0.750M,3.300M
17-Sep-14,2:00,3.300M,-1.500M,-1.900M
10-Sep-14,2:00,-1.900M,-1.500M,-0.545M
4-Sep-14,2:00,-0.545M,-1.000M,-1.300M
27-Aug-14,2:05,-1.300M,-2.500M,-1.400M
20-Aug-14,2:00,-1.400M,-1.750M,0.229M
13-Aug-14,2:00,0.229M,-2.000M,-5.500M
6-Aug-14,2:00,-5.500M,-1.900M,-4.400M
30-Jul-14,2:00,-4.400M,-2.100M,-0.555M
23-Jul-14,2:00,-0.555M,-2.600M,-4.800M
16-Jul-14,2:00,-4.800M,-3.000M,-1.700M
9-Jul-14,2:00,-1.700M,-3.000M,-0.876M
2-Jul-14,2:00,-0.876M,-2.000M,4.000M
25-Jun-14,2:00,4.000M,-1.600M,-5.700M
18-Jun-14,2:00,-5.700M,-,1.500M
11-Jun-14,2:00,1.500M,-1.200M,-1.400M
4-Jun-14,2:00,-1.400M,-2.000M,3.490M
29-May-14,2:00,3.490M,1.000M,-10.300M
21-May-14,2:00,-10.300M,-0.300M,0.912M
14-May-14,2:00,0.912M,-1.500M,-1.800M
7-May-14,2:00,-1.800M,1.300M,3.000M
30-Apr-14,2:00,3.000M,2.100M,0.519M
23-Apr-14,2:00,0.519M,3.100M,7.640M
16-Apr-14,2:00,7.640M,2.400M,7.080M
